"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Netherlands",2994,534,106,30,"Local transmission",0,"Level 2: Exercise Increased Caution","July 19, 2019","Not yet restricted"
"New Caledonia",2,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","April 1, 2019","Not yet restricted"
"New Zealand",53,14,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 21, 2019","Restricted"
"Nicaragua",1,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","April 3, 2019","Not yet restricted"
"Niger",1,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","December 19, 2019","Not yet restricted"
"Nigeria",12,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 29, 2019","Restricted"
"North Macedonia",70,22,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 23, 2019","Not yet restricted"
"Norway",1742,190,7,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 13, 2019","Restricted"
"Oman",48,9,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Pakistan",461,159,2,0,"Imported cases only",0,"Level 3: Reconsider Travel","January 31, 2020","Not yet restricted"
"Panama",137,28,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 3, 2019","Not yet restricted"
"Papua New Guinea",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","October 9, 2019","Not yet restricted"
"Paraguay",13,2,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 22, 2019","Not yet restricted"
"Peru",234,0,2,2,"Local transmission",1,"Level 2: Exercise Increased Caution","October 22, 2019","Restricted"
"Philippines",230,13,18,1,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Poland",425,100,5,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Not yet restricted"
"Portugal",1020,235,6,3,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 28, 2019","Not yet restricted"
"Qatar",460,8,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","May 17, 2019","Not yet restricted"
"Romania",308,48,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 5, 2019","Not yet restricted"
"Russia",253,54,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 10, 2020","Restricted"
"Rwanda",11,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Restricted"
"Saint Lucia",2,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","April 15, 2019","Not yet restricted"
"Saudi Arabia",274,36,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","September 17, 2019","Restricted"
"Senegal",38,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","April 25, 2019","Not yet restricted"
"Seychelles",6,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 18, 2019","Not yet restricted"
"Singapore",385,40,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 20, 2018","Restricted"
"Sint Maarten",1,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Slovakia",137,14,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","July 26, 2019","Not yet restricted"
"Slovenia",341,22,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 15, 2020","Not yet restricted"
"Somalia",1,0,0,0,"Imported cases only",4,"Level 4: Do Not Travel","October 28, 2019","Not yet restricted"
"South Africa",205,55,0,0,"Local transmission",0,"Level 2: Exercise Increased Caution","December 23, 2019","Restricted"
"South Korea",8799,147,102,8,"Local transmission",0,"Level 3: Reconsider Travel","February 29, 2020","Restricted"
"Spain",19980,2833,1002,235,"Local transmission",0,"Level 2: Exercise Increased Caution","October 21, 2019","Restricted"
"Sri Lanka",59,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","June 24, 2019","Restricted"
"Sudan",1,0,1,0,"Imported cases only",6,"Level 3: Reconsider Travel","September 26, 2019","Not yet restricted"
"Suriname",2,1,0,0,"Imported cases only",0,"Level 1: Exercise Normal Precautions","October 18, 2019","Not yet restricted"
"Sweden",1623,200,16,13,"Local transmission",0,"Level 1: Exercise Normal Precautions","March 29, 2019","Not yet restricted"
"Switzerland",4840,977,43,10,"Local transmission",0,"Level 1: Exercise Normal Precautions","October 8, 2019","Not yet restricted"
"Thailand",322,0,1,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","February 7, 2020","Restricted"
"Timor-Leste",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","January 15, 2020","Not yet restricted"
"Togo",9,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 22, 2019","Not yet restricted"
"Trinidad and Tobago",9,0,0,0,"Imported cases only",1,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Tunisia",54,15,1,1,"Local transmission",0,"Level 2: Exercise Increased Caution","January 2, 2019","Not yet restricted"
"Turkey",670,479,9,7,"Local transmission",0,"Level 2: Exercise Increased Caution","September 5, 2019","Restricted"
"Ukraine",26,10,3,1,"Local transmission",0,"Level 2: Exercise Increased Caution","February 19, 2020","Restricted"
"United Arab Emirates",140,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","May 17, 2019","Restricted"
"United Kingdom",3983,706,177,33,"Local transmission",0,"Level 2: Exercise Increased Caution","April 22, 2019","Restricted"
"United States of America",15219,4777,201,51,"Local transmission",0,"Do not travel","18 Mar 2020","Restricted"
"Uruguay",94,15,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","August 2, 2019","Not yet restricted"
"Uzbekistan",33,12,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","December 13, 2018","Not yet restricted"
"Venezuela",36,0,0,0,"Imported cases only",2,"Level 4: Do Not Travel","December 2, 2019","Not yet restricted"
"Zambia",2,0,0,0,"Imported cases only",2,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Zimbabwe",1,1,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","May 14, 2019","Not yet restricted"
