"Country","Cases","New_cases","Deaths","New_deaths","Transmission","Days_last_reported","Level","Date_last_updated","Travel_restriction"
"Brazil",5717,1138,201,42,"Local transmission",0,"Level 2: Exercise Increased Caution","January 14, 2020","Not yet restricted"
"British Virgin Islands",3,0,0,0,"Imported cases only",1,"Level 1: Exercise Normal Precautions","May 7, 2019","Not yet restricted"
"Bulgaria",422,23,10,2,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 22, 2019","Not yet restricted"
"Burkina Faso",261,0,14,0,"Local transmission",1,"Level 4: Do Not Travel","November 26, 2019","Not yet restricted"
"Burundi",2,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","January 21, 2020","Not yet restricted"
"Cabo Verde",5,0,1,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","December 4, 2019","Not yet restricted"
"Cambodia",109,0,0,0,"Local transmission",1,"Level 1: Exercise Normal Precautions","January 7, 2019","Restricted"
"Cameroon",139,0,6,0,"Local transmission",2,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Canada",9005,1310,105,16,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cayman Islands",14,2,1,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 8, 2019","Not yet restricted"
"Chad",7,0,0,0,"Imported cases only",1,"Level 3: Reconsider Travel","October 2, 2019","Not yet restricted"
"Chile",3031,293,16,4,"Local transmission",0,"Level 2: Exercise Increased Caution","November 8, 2019","Not yet restricted"
"China",82724,93,3327,6,"Local transmission",0,"Level 4: Do Not Travel","February 2, 2020","Restricted"
"Colombia",906,108,16,2,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Restricted"
"Costa Rica",347,33,2,0,"Local transmission",0,"Level 2: Exercise Increased Caution","January 7, 2020","Not yet restricted"
"Croatia",963,96,6,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","January 14, 2020","Restricted"
"Cuba",212,26,6,0,"Local transmission",0,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Cyprus",320,58,9,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 21, 2019","Not yet restricted"
"Denmark",3107,247,104,14,"Local transmission",0,"Level 2: Exercise Increased Caution","June 25, 2019","Restricted"
"Djibouti",34,3,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 18, 2019","Not yet restricted"
"Dominica",11,0,0,0,"Local transmission",6,"Level 2: Exercise Increased Caution","November 21, 2019","Not yet restricted"
"Dominican Republic",1284,175,57,6,"Local transmission",0,"Level 2: Exercise Increased Caution","April 15, 2019","Not yet restricted"
"Ecuador",2372,132,146,71,"Local transmission",0,"Level 2: Exercise Increased Caution","April 9, 2019","Not yet restricted"
"Egypt",779,69,52,6,"Local transmission",0,"Level 2: Exercise Increased Caution","March 6, 2020","Restricted"
"El Salvador",32,2,1,1,"Local transmission",0,"Level 3: Reconsider Travel","January 29, 2019","Not yet restricted"
"Equatorial Guinea",14,0,0,0,"Local transmission",2,"Level 1: Exercise Normal Precautions","December 11, 2019","Not yet restricted"
"Eritrea",15,9,0,0,"Imported cases only",0,"Level 2: Exercise Increased Caution","February 25, 2019","Not yet restricted"
"Estonia",779,34,5,1,"Local transmission",0,"Level 1: Exercise Normal Precautions","August 2, 2019","Not yet restricted"
"Eswatini",9,0,0,0,"Imported cases only",5,"Level 1: Exercise Normal Precautions","December 27, 2019","Not yet restricted"
"Ethiopia",26,0,0,0,"Local transmission",1,"Level 2: Exercise Increased Caution","August 20, 2019","Not yet restricted"
"Fiji",5,0,0,0,"Local transmission",7,"Level 1: Exercise Normal Precautions","December 16, 2019","Not yet restricted"
"Finland",1446,62,17,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","September 27, 2019","Not yet restricted"
"France",56261,4784,4019,505,"Local transmission",0,"Level 2: Exercise Increased Caution","April 1, 2019","Not yet restricted"
"French Guiana",51,5,0,0,"Local transmission",0,"Level 1: Exercise Normal Precautions","November 19, 2019","Not yet restricted"
