iter	Passed	Remaining
902	4045	434
903	4050	430
904	4054	425
905	4059	421
906	4063	416
907	4068	412
908	4072	407
909	4076	403
910	4081	398
911	4085	394
912	4090	389
913	4094	385
914	4099	380
915	4103	376
916	4108	371
917	4113	367
918	4117	362
919	4121	358
920	4126	353
921	4130	349
922	4134	344
923	4139	340
924	4143	335
925	4147	331
926	4152	326
927	4156	322
928	4161	318
929	4166	313
930	4170	309
931	4175	304
932	4180	300
933	4184	295
934	4189	291
935	4193	286
936	4198	282
937	4202	277
938	4206	273
939	4210	268
940	4215	264
941	4219	259
942	4224	255
943	4229	250
944	4233	246
945	4237	241
946	4242	237
947	4246	232
948	4251	228
949	4256	224
950	4260	219
951	4264	215
952	4268	210
953	4272	206
954	4277	201
955	4281	197
956	4286	192
957	4290	188
958	4295	183
959	4299	179
960	4304	174
961	4308	170
962	4313	165
963	4317	161
964	4321	156
965	4325	152
966	4329	147
967	4333	143
968	4338	138
969	4342	134
970	4346	129
971	4351	125
972	4355	120
973	4359	116
974	4364	111
975	4368	107
976	4373	102
977	4377	98
978	4381	93
979	4386	89
980	4391	85
981	4395	80
982	4399	76
983	4404	71
984	4408	67
985	4412	62
986	4417	58
987	4421	53
988	4425	49
989	4430	44
990	4435	40
991	4441	35
992	4447	31
993	4454	26
994	4461	22
995	4467	17
996	4474	13
997	4480	8
998	4485	4
999	4491	0
